0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS
Manchester City,38,28,5,5,94,33,89,84.32,76.71,34.21,31.92,44.78,10.33,22.32,450,154,83.04
Arsenal,38,26,6,6,88,43,84,76.51,73.47,45.16,41.36,32.11,9.55,14.36,452,199,72.53
Manchester United,38,23,6,9,58,43,75,71.9,69.62,50.29,48.0,21.61,11.52,13.66,391,253,66.4
Newcastle United,38,19,14,5,68,33,71,76.98,72.41,41.86,38.05,34.36,9.19,10.66,376,215,71.67
Liverpool,38,19,10,9,75,47,67,80.77,77.73,55.77,52.73,25.0,8.83,19.1,419,209,67.37
Brighton,38,18,8,12,72,53,62,77.72,73.16,50.15,43.98,29.18,8.93,15.01,362,231,70.86
Aston Villa,38,18,7,13,51,46,61,50.0,46.95,53.96,49.24,-2.29,11.78,9.56,258,237,54.37
Tottenham,38,18,6,14,70,63,60,57.83,53.27,51.66,48.62,4.65,12.65,12.73,239,280,57.6
Brentford,38,15,14,9,58,46,59,59.23,53.14,51.45,49.93,3.21,11.31,9.78,231,301,58.26
Fulham,38,15,7,16,55,53,52,47.98,41.13,71.49,65.31,-24.18,12.96,10.43,203,286,39.24
Crystal Palace,38,11,12,15,40,49,45,40.72,38.3,51.63,48.58,-10.29,13.05,8.67,197,311,44.24
Chelsea,38,11,11,16,38,47,44,51.89,49.61,54.02,53.26,-3.65,9.1,13.33,322,214,52.28
Wolverhampton Wanderers,38,11,8,19,31,58,41,35.13,32.84,62.68,59.64,-26.79,11.99,11.3,192,301,35.01
West Ham,38,11,7,20,42,55,40,51.21,45.12,55.31,50.75,-5.62,15.96,11.11,173,285,51.62
Bournemouth,38,11,6,21,37,71,39,40.08,40.08,67.6,62.27,-22.19,15.78,8.81,200,383,34.73
Nottingham Forest,38,9,11,18,38,68,38,39.57,35.01,68.46,61.61,-26.6,16.48,8.02,157,390,35.05
Everton,38,8,12,18,34,57,36,48.65,46.37,68.58,64.02,-17.65,13.65,9.62,197,309,40.71
Leicester,38,9,7,22,51,68,34,48.99,44.33,59.79,55.98,-11.65,12.02,12.67,205,289,45.07
Leeds,38,7,10,21,48,78,31,47.8,45.51,69.58,65.01,-19.5,9.48,9.02,230,267,40.58
Southampton,38,6,7,25,36,73,25,39.27,36.13,62.9,60.62,-24.48,12.37,8.4,199,339,36.47
